URL,Domain,Category,Sellername,Location,Contact,Productselling
URL,Domain,Category,Sellername,Location,Contact,Productselling
URL,Domain,Category,Sellername,Location,Contact,Productselling
URL,Domain,Category,Sellername,Location,Contact,Productselling
URL,Domain,Category,Sellername,Location,Contact,Productselling
URL,Domain,Category,Sellername,Location,Contact,Productselling
https://dir.indiamart.com/pimpri-chinchwad/adhesive-gum.html?biz=10,indiamart.com,Adhesive Gum,Shyam Traders|https://www.indiamart.com/shyamtraders-maharashtra/,"Wakad,Pimpri Chinchwad,Maharashtra||Sai Yash Jewel Building, Aundh- Ravet BRT Road, Laxman Nagar, Wakad, Pimpri Chinchwad - 411033, Dist. Pune, Maharashtra",+91-8046059967,Astral Resiwood ( Fevicol )
https://dir.indiamart.com/pimpri-chinchwad/adhesive-gum.html?biz=10,indiamart.com,Adhesive Gum,Anmol Collection|https://www.indiamart.com/anmolartnframes/,"Powai,Mumbai,Maharashtra",+91-8047630462,Pidilite Fevistick Super Glue Stick Non Toxic Transparent Adhesive (25g)
https://dir.indiamart.com/pimpri-chinchwad/adhesive-gum.html?biz=10,indiamart.com,Adhesive Gum,Jay Ambe Mobile Accessories|https://www.advandisplay.com/,"Grand road,Mumbai,Maharashtra",+91-7942792115,T7000 50ml Black Glue
https://dir.indiamart.com/pimpri-chinchwad/adhesive-gum.html?biz=10,indiamart.com,Adhesive Gum,Trikut Nutrition|https://www.indiamart.com/trikutsportsupplements/,",Mumbai,Maharashtra",+91-8047644392,"Food Grade Malto Dextrine, 25kg"
https://dir.indiamart.com/pimpri-chinchwad/adhesive-gum.html?biz=10,indiamart.com,Adhesive Gum,Kamdar Creation|https://www.goldclass.in/,",Mumbai,Maharashtra",+91-8048980882,"Gold Class 50 ml Synthetic Gum, Packaging Type: Plastic Bottle"
https://dir.indiamart.com/pimpri-chinchwad/adhesive-gum.html?biz=10,indiamart.com,Adhesive Gum,Grip Adhesive|https://www.indiamart.com/grip-adhesive/,",Pune,Maharashtra",+91-8046032958,"Gripmaster Pgh paper bag synthatic gum, 50kgs"
https://dir.indiamart.com/pimpri-chinchwad/adhesive-gum.html?biz=10,indiamart.com,Adhesive Gum,Henkel Adhesives Technologies India Private Limited|https://www.indiamart.com/tryloctite/,"Seawoods,Navi Mumbai,Maharashtra",+91-8048975017,Loctite 574 Gasket Compound
https://dir.indiamart.com/pimpri-chinchwad/adhesive-gum.html?biz=10,indiamart.com,Adhesive Gum,Aditya Fashion|https://www.indiamart.com/adityalaces/,"Anjana Farm,Surat,Gujarat",+91-8046047074,"Aditya fashion Textile Fabric Glue Cone, 50 Kg, Box"
https://dir.indiamart.com/pimpri-chinchwad/adhesive-gum.html?biz=10,indiamart.com,Adhesive Gum,Empire General Agency|https://www.empiregeneralagency.com/,"Mohammad Ali Road,Mumbai,Maharashtra",+91-8046033091,"Wallpaper Sticking Paste Gum, Packet"
https://dir.indiamart.com/pimpri-chinchwad/adhesive-gum.html?biz=10,indiamart.com,Adhesive Gum,Shivam Trading Company|https://www.indiamart.com/shivam-trading/,"Parel,Mumbai,Maharashtra",+91-8048961654,Adhesive Gum
https://dir.indiamart.com/pimpri-chinchwad/adhesive-gum.html?biz=10,indiamart.com,Adhesive Gum,Sav Chemicals Private Limited|https://www.indiamart.com/savchemicals/,"Balewadi,Pune,Maharashtra",+91-8048963823,"MXBON 101F CYANOACRYLATE ADHESIVE, Tube"
https://dir.indiamart.com/pimpri-chinchwad/adhesive-gum.html?biz=10,indiamart.com,Adhesive Gum,Hi Bond Chemicals|https://www.hibond.co.in/,"Mulund West,Mumbai,Maharashtra",+91-8046056884,Industrial Grade Hi Bond Sealant Adhesive
